label,moderator,level,k_re,n,secs,converged,singular,logLik,AIC,semXfam,semXfam_se,semXfam_z,semXfam_p,semXfam_raw,visXfam,visXfam_se,visXfam_z,visXfam_p,visXfam_raw,fam_sd,lrt_chisq,lrt_df,lrt_p,mod
arm_cn_strong,arm,L6,3,262306,38.9442610740662,True,False,-423463.131540307,846946.263080614,-0.0118936986999586,0.0088170487718122,-1.34894328111037,0.177355184885131,-0.0118936986999586,0.026356783712679,0.0082901240258764,3.17929908290998,0.0014763167667358,0.026356783712679,1.0,7245.80491958163,5.0,0.0,arm
arm_cn_traitspace,arm,L0,63,266666,688.166625738144,True,False,-519811.67213737,1039763.34427474,0.0969404650305078,0.049000119546747,1.97837201066469,0.0478867548625483,0.0969404650305078,0.0044077211649293,0.043813326842637,0.100602293470214,0.919866176019649,0.0044077211649293,1.0,,,,arm
arm_cn_traitspace,arm,L1,41,266666,455.816755056381,True,False,-520002.062970888,1040100.12594178,0.143752708170907,0.0271144773687854,5.30169570358001,1.14731966254721e-07,0.143752708170907,-0.0338849213528996,0.0218447951839499,-1.55116681422566,0.120861712746239,-0.0338849213528996,1.0,380.781667035655,22.0,3.7523952697855506e-67,arm
arm_cn_traitspace,arm,L2,33,266666,320.497715711594,True,False,-520321.211772931,1040722.42354586,0.0095660090421604,0.0254262693099574,0.376225427550799,0.706749313298369,0.0095660090421604,0.0082776892468077,0.0210607423824246,0.393038815845144,0.694290812711198,0.0082776892468077,1.0,638.297604086343,8.0,1.3594195066349401e-132,arm
arm_cn_traitspace,arm,L3,23,266666,177.036973237991,True,False,-528839.326356966,1057738.65271393,-0.0686390297933607,0.0268975812954283,-2.5518662454987,0.0107147643856542,-0.0686390297933607,0.151918401782251,0.0200080909601367,7.59284841741911,3.12948568956982e-14,0.151918401782251,1.0,17036.2291680693,10.0,0.0,arm
arm_cn_traitspace,arm,L4,12,266666,134.986747264862,True,False,-529058.604818622,1058155.20963724,-0.0783329189399589,0.0150717818398339,-5.19732303535135,2.02178853636611e-07,-0.0783329189399589,0.160664422368932,0.0138689316287807,11.5844844195153,4.93929525898482e-31,0.160664422368932,1.0,438.556923312601,11.0,3.91888490225179e-87,arm
arm_cn_traitspace,arm,L5,8,266666,97.6745703220367,True,False,-529830.530333825,1059691.06066765,-0.0962348137466919,0.0146999021026437,-6.54662956764757,5.88500933046174e-11,-0.0962348137466919,0.165883217284991,0.0137472545544609,12.0666433161495,1.5846721236491e-33,0.165883217284991,1.0,1543.85103040584,4.0,0.0,arm
arm_cn_traitspace,arm,L6,3,266666,44.4295592308044,True,False,-532568.992538961,1065157.98507792,-0.0708296935517435,0.0127974426875315,-5.53467558176702,3.11804939566283e-08,-0.0708296935517435,0.146850533229285,0.0120675540477639,12.1690387835052,4.54401940879129e-34,0.146850533229285,1.0,5476.92441027099,5.0,0.0,arm
arm_cn_trustworthy,arm,L0,63,260871,1716.84621024132,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_trustworthy,arm,L1,41,260871,475.100318431854,True,False,-411920.457248299,823936.914496599,0.0441765213585452,0.0166198623790927,2.65805578595633,0.0078592882497559,0.0441765213585452,-0.0180835714107814,0.0137564699444002,-1.31455027953175,0.188661089558778,-0.0180835714107814,1.0,,,,arm
arm_cn_trustworthy,arm,L2,33,260871,2003.15177845955,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_trustworthy,arm,L3,23,260871,322.35705780983,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_trustworthy,arm,L4,12,260871,94.4291291236877,True,False,-412785.146753793,825608.293507586,-0.0427664676764972,0.010167502557426,-4.2061919763435,2.5970964321037e-05,-0.0427664676764972,0.0074436288227697,0.009142711051712,0.814159911722881,0.415553347647087,0.0074436288227697,1.0,,,,arm
arm_cn_trustworthy,arm,L5,8,260871,76.2629280090332,True,False,-413639.69884459,827309.39768918,-0.0462472173197005,0.0099047269935413,-4.66920666767061,3.02365088400794e-06,-0.0462472173197005,0.0070552337651281,0.0091150446308898,0.774020759176397,0.438918515197188,0.0070552337651281,1.0,1709.1041815934,4.0,0.0,arm
arm_cn_trustworthy,arm,L6,3,260871,33.3427062034607,True,False,-415038.324464538,830096.648929075,-0.0376171407473614,0.0085894106630506,-4.37947866542002,1.18963567100449e-05,-0.0376171407473614,0.0015835505213775,0.0081065233100736,0.195342745688493,0.845124635361858,0.0015835505213775,1.0,2797.25123989559,5.0,0.0,arm
arm_cn_warm,arm,L0,63,260742,1950.94529819489,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_warm,arm,L1,41,260742,570.126326084137,True,False,-425738.063187713,851572.126375427,-0.023516011440428,0.0155368861546336,-1.51356013079974,0.13013743948749,-0.023516011440428,-0.0133994430909396,0.0125317782861752,-1.06923716530491,0.284962815904692,-0.0133994430909396,1.0,,,,arm
