participant,unique_sem,unique_vis,shared,total_r2
101,0.03795326626249984,0.030113117151896684,0.015058724572755033,0.08312510798715156
102,0.026445720593601174,0.023985844166841797,0.011209153527748872,0.06164071828819184
103,0.04863038055750357,0.05335369689056502,0.022669704025891635,0.12465378147396022
104,0.0061148679763166625,0.019279452207709102,0.0049574899050974786,0.030351810089123243
105,0.05043906825659816,0.047670534978520585,0.02182092262339297,0.11993052585851172
106,0.06216689427608357,0.044986125239499186,0.02357938237765611,0.13073240189323887
107,0.0025903859191157563,0.015784823307973372,0.003036752102070217,0.021411961329159346
108,0.05587684842238205,0.02568199167266627,0.01705506394656464,0.09861390404161297
109,0.07152996402884959,0.03230542125492342,0.02165400262551942,0.12548938790929243
110,0.043242494150793176,0.028346569241150532,0.015632819946394427,0.08722188333833814
111,0.011272024043606277,0.03166805534511019,0.00858369873776732,0.05152377812648379
112,0.08248158504506464,0.04987368116449575,0.02867963721962208,0.16103490342918247
113,0.03723533402098733,0.03924488932112702,0.017011014140600578,0.09349123748271493
114,0.015171847398526173,0.04313821299884801,0.011628567563445213,0.0699386279608194
115,0.04944243911995283,0.03501677978059081,0.018557612246632993,0.10301683114717664
116,0.015144552277706613,0.005698604705217325,0.004211343760999964,0.025054500743923902
117,0.04243866569500432,0.02068653320227598,0.01331691331566398,0.07644211221294428
118,0.009963589028222475,0.030273141198107978,0.007916609752161574,0.04815333997849203
119,0.0638298970374972,0.006160060355430597,0.00986261570167557,0.07985257309460336
120,0.06916582473507915,0.07803920130086861,0.032701066765561615,0.17990609280150938
121,0.045564782200218756,0.02639276137699953,0.015520138465477284,0.08747768204269557
122,0.001331238077341923,0.0009083887444664152,0.0004907096895764296,0.0027303365113847677
123,0.06583262763383624,0.024311542893525773,0.018148926827377676,0.10829309735473969
124,0.036110485412202964,0.015051968833506235,0.010529471074041008,0.06169192531975021
125,0.02824309938233094,0.02192804430575601,0.011087402809756508,0.06125854649784346
126,0.01658906434442564,0.020934334174903535,0.008301013869085438,0.045824412388414615
127,0.030412688952771383,0.0027780821433871505,0.004597393810808259,0.03778816490696679
128,0.017407997943903464,0.04009212320581701,0.011915284832424877,0.06941540598214535
129,0.07631911430897331,0.06153339412658532,0.03052093580952575,0.16837344424508438
130,0.005419823475619423,0.03024154577093563,0.006041325788325058,0.04170269503488011
131,0.012400724861205026,0.03386851751123776,0.009300197480310635,0.05556943985275342
132,0.030702900808239786,0.007029478619265062,0.006823223943705159,0.044555603371210006
133,0.02061640956383548,0.03054237176598895,0.011199257745688529,0.06235803907551296
134,0.06628035689631573,0.03778215416741293,0.022403899875332534,0.1264664109390612
135,0.016192035010809125,0.02768270977810805,0.009473374310651983,0.05334811909956916
136,0.04454031936682468,0.015589516627086963,0.011979963448754294,0.07210979944266593
137,0.05903854708764422,0.02119258153615966,0.016064748835144416,0.0962958774589483
138,0.00736867964035548,0.024640045609425343,0.006169215089738778,0.0381779403395196
139,0.09562297524021113,0.01565468112559698,0.018377572559398647,0.12965522892520676
