dataset,variant,trait,target,n_pairs_dropped,dfbeta_sem,dfbeta_vis,beta_sem_full,beta_vis_full,z_sem,z_vis
cn,midpoint,competent,35,11117,0.0012278913013282905,-0.00036020121341383965,-0.07420889536675558,0.01894705880010612,0.32773514440350426,-0.1005085463835947
cn,midpoint,competent,36,11337,0.0007535020857666747,-0.0017491049608512332,-0.07420889536675558,0.01894705880010612,0.20805169339895782,-0.483655679908417
cn,midpoint,competent,37,10968,0.0027801810835327567,-0.0009095247848959244,-0.07420889536675558,0.01894705880010612,0.7193616654098527,-0.2520465864956694
cn,midpoint,competent,38,10451,0.004428512086743025,0.0016170976893010273,-0.07420889536675558,0.01894705880010612,1.1352183847251078,0.44495503098437356
cn,midpoint,competent,39,9557,0.000836927819038602,-0.0031483957263342445,-0.07420889536675558,0.01894705880010612,0.22909913573752047,-0.8696682072356479
cn,midpoint,competent,40,11173,0.0031889920431786706,-0.000909185163378505,-0.07420889536675558,0.01894705880010612,0.8225004064560187,-0.25195289749013344
cn,midpoint,competent,41,10547,-0.0002901458512242078,0.0024017811092416942,-0.07420889536675558,0.01894705880010612,-0.055249795411174495,0.6614201414208857
cn,midpoint,competent,42,10923,0.004736471137506595,-0.002542436341121654,-0.07420889536675558,0.01894705880010612,1.21291324108864,-0.7025064424949036
cn,midpoint,competent,43,10791,0.0009120223739993577,0.006869643876935434,-0.07420889536675558,0.01894705880010612,0.2480447086859141,1.893938100698189
cn,midpoint,competent,44,11537,-0.005429778000816454,0.0028726647866761414,-0.07420889536675558,0.01894705880010612,-1.351925378200049,0.7913195182247257
cn,midpoint,competent,45,11412,-0.0031487975173848937,0.003671922364502013,-0.07420889536675558,0.01894705880010612,-0.776457793828604,1.0118050993580425
cn,midpoint,competent,46,9652,0.0033095607121559206,0.00526985266478113,-0.07420889536675558,0.01894705880010612,0.8529186240563887,1.4526149216758413
cn,midpoint,competent,47,10098,0.0018138100561468917,-0.005683904338265867,-0.07420889536675558,0.01894705880010612,0.4755563348619724,-1.5691211811955244
cn,midpoint,competent,48,10863,0.0009153440439661625,-0.0009278007449579212,-0.07420889536675558,0.01894705880010612,0.2488827313721059,-0.25708824739052116
cn,midpoint,competent,49,11082,0.00099926116235724,-0.004158651456678739,-0.07420889536675558,0.01894705880010612,0.270054145050874,-1.148360368533864
cn,midpoint,practical,0,7702,0.0015025667238076496,-0.007706302172156249,-0.0402190663661229,0.022731131358148533,0.38430044764267707,-1.5158378775248331
cn,midpoint,practical,1,11635,-0.0008442602838181767,-0.002965462455522986,-0.0402190663661229,0.022731131358148533,-0.19891815452940026,-0.5834359885547702
cn,midpoint,practical,2,9391,-0.0033660796700864803,0.00501676957161324,-0.0402190663661229,0.022731131358148533,-0.8256247556596455,0.986464844453057
cn,midpoint,practical,3,11168,-0.0017228105088474902,-0.00017940744922345306,-0.0402190663661229,0.022731131358148533,-0.41724989884400043,-0.035490243514274704
cn,midpoint,practical,4,11373,0.000708766248374286,-0.002305609703204689,-0.0402190663661229,0.022731131358148533,0.1870301749803002,-0.453659832962529
cn,midpoint,practical,5,9810,0.0034616761976730623,0.0014068776890678765,-0.0402190663661229,0.022731131358148533,0.8711659409820277,0.27649146179390083
cn,midpoint,practical,6,8096,0.004268560831218696,0.004719092974902167,-0.0402190663661229,0.022731131358148533,1.0716878058495565,0.9279194732392226
cn,midpoint,practical,7,10159,0.0015184883941091742,0.0007006101970063218,-0.0402190663661229,0.022731131358148533,0.38825720042732054,0.13758671430667757
cn,midpoint,practical,8,10282,-0.0028412185165978127,0.0054127208042658095,-0.0402190663661229,0.022731131358148533,-0.6951895820071314,1.0643383224299627
cn,midpoint,practical,9,9620,-0.0034855582937087445,0.0015998616652630991,-0.0402190663661229,0.022731131358148533,-0.8553168273939464,0.3144464728680073
cn,midpoint,practical,10,11441,-0.00043140809690681015,0.0004754397381419445,-0.0402190663661229,0.022731131358148533,-0.09631874069458113,0.09330144550739868
cn,midpoint,practical,11,11159,0.0016687497755979025,-0.0025904810594763773,-0.0402190663661229,0.022731131358148533,0.42559920841833887,-0.5096867409740519
cn,midpoint,practical,12,10654,-0.0010551993292844813,0.007905438430524065,-0.0402190663661229,0.022731131358148533,-0.25133939173206377,1.5545921091668669
cn,midpoint,practical,13,7202,0.0019312272266319777,-0.003466911003763822,-0.0402190663661229,0.022731131358148533,0.490828444146561,-0.6820580896059076
cn,midpoint,practical,14,10858,-0.0013518170962702261,0.0003766712828213066,-0.0402190663661229,0.022731131358148533,-0.3250529628128047,0.07387621710566362
cn,midpoint,practical,15,9483,0.0030969883251647165,0.0002983094950511321,-0.0402190663661229,0.022731131358148533,0.7805360178806239,0.05846445815426224
